yWinner,yBinary,title_bout,titleBoutBinary,no_of_rounds,weight_class_Bantamweight,weight_class_Catch Weight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Open Weight,weight_class_Welterweight,B-R_Height_Diff,B-R_Reach_cms,B-R_Age,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Sideways,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,B-R_current_lose_streak,B-R_current_win_streak,B-R_avg_B-RODY_att,B-R_avg_B-RODY_landed,B-R_avg_CLINCH_att,B-R_avg_CLINCH_landed,B-R_avg_DISTANCE_att,B-R_avg_DISTANCE_landed,B-R_avg_GROUND_att,B-R_avg_GROUND_landed,B-R_avg_HEAD_att,B-R_avg_HEAD_landed,B-R_avg_KD,B-R_avg_LEG_att,B-R_avg_LEG_landed,B-R_avg_PASS,B-R_avg_REV,B-R_avg_SIG_STR_pct,B-R_avg_SUB-R_ATT,B-R_avg_TD_att,B-R_avg_TD_landed,B-R_avg_TD_pct,B-R_avg_TOTAL_STR_att,B-R_avg_TOTAL_STR_landed,B-R_longest_win_streak,B-R_losses,B-R_avg_opp_B-RODY_att,B-R_avg_opp_B-RODY_landed,B-R_avg_opp_CLINCH_att,B-R_avg_opp_CLINCH_landed,B-R_avg_opp_DISTANCE_att,B-R_avg_opp_DISTANCE_landed,B-R_avg_opp_GROUND_att,B-R_avg_opp_GROUND_landed,B-R_avg_opp_HEAD_att,B-R_avg_opp_HEAD_landed,B-R_avg_opp_KD,B-R_avg_opp_LEG_att,B-R_avg_opp_LEG_landed,B-R_avg_opp_PASS,B-R_avg_opp_REV,B-R_avg_opp_SIG_STR_pct,B-R_avg_opp_SUB-R_ATT,B-R_avg_opp_TD_att,B-R_avg_opp_TD_landed,B-R_avg_opp_TD_pct,B-R_avg_opp_TOTAL_STR_att,B-R_avg_opp_TOTAL_STR_landed,B-R_total_rounds_fought,B-R_total_time_fought(seconds),B-R_total_title_B-Routs,B-R_win_B-Ry_Decision_Majority,B-R_win_B-Ry_Decision_Split,B-R_win_B-Ry_Decision_Unanimous,B-R_win_B-Ry_KO/TKO,B-R_win_B-Ry_SuB-Rmission,B-R_wins
Red,0,FALSE,0,1,0,0,0,0,0,0,0,0,1,0,1.168460773,0.94890006,1,0,1,0,0,0,0,0,0,1,0,0,0.007673134,0.007270617,-0.412098047,-0.407225206,-0.002925297,-0.02400617,-0.763927839,-0.647449359,-0.269586524,-0.493655991,-1.117470328,0.085065815,0.095359408,-0.323957588,0.035786286,-5.028039841,-0.546567409,-0.317170895,-0.531485685,-2.112967803,-0.300020278,-0.376544569,-2,-1,-0.528020556,-0.72603418,-0.187618909,-0.268388115,0.112565432,0.056708073,-0.882664771,-1.292879036,0.02023384,-0.222445442,0.080183446,-0.080603777,-0.114805075,0.583144626,0.060514612,1.53310829,-1.348821585,0.068923447,0.737882341,3.749351136,-0.907938786,-1.741528805,-4,-1.763586944,-1,0,0,0,-2,-1,-3
Red,0,FALSE,0,1,0,0,0,0,0,0,0,0,1,0,-1.595452119,-1.174381263,-8,0,1,0,0,0,0,1,0,0,0,0,0.364581765,0.504341297,0.36974823,0.463475137,0.246046339,0.381088355,-0.716752721,-1.127767016,0.001025472,-0.250721641,0.088703722,0.796809145,0.546761963,0.096551292,0.035786286,-1.973963312,1.518046428,-0.317170895,-0.696556151,-4.1416051,0.706768031,0.870742586,0,0,0.425895233,0.606112396,1.014634156,0.976589509,0.146715645,0.171171593,0.545079765,0.829141527,0.337138854,0.612886697,0.080183446,0.503669394,0.39273166,0.045312447,0.060514612,6.414034953,1.640368177,1.262902743,1.811687047,2.158923465,0.562058054,0.850407381,0,2.492273271,0,0,0,0,-1,1,0
Red,0,FALSE,0,1,0,0,0,0,0,0,0,0,1,0,0.378771375,0.342248254,6,0,1,0,0,0,0,1,0,0,0,3,0.120855914,0.196722051,0.071340348,0.15053258,0.337477011,0.551771483,0.622850843,0.612636417,0.29327938,0.45442244,0.814835382,1.717210652,1.585941243,0.664726427,-0.259954554,5.219145095,0.184135915,-0.036844033,0.526028691,1.679263084,0.190570083,-0.008550303,1,-2,0.220111678,0.38272306,-0.353571833,-0.064831171,0.074889642,0.067098594,-0.905802715,-0.762337932,-0.332730638,-0.583446128,0.080183446,0.72418082,0.547616447,-0.311657883,0.885932828,0.90103558,1.140181112,-0.229571377,-0.433947577,-1.395340279,-0.707400183,-1.071072294,-4,-0.08020931,0,0,0,0,1,-2,-1
Red,0,FALSE,0,1,0,0,0,0,0,0,0,0,1,0,-0.805762722,-0.567729456,-8,0,0,0,0,1,0,0,1,0,0,0,0.123578144,0.196722051,0.492195926,0.460860096,0.281186915,0.273233459,0.72757414,0.621604756,0.60974103,0.779245167,1.540967041,0.040121645,0.037781278,-0.083173668,0.035786286,2.072022385,-0.390215982,-0.031700501,0.097908879,-0.639185775,0.390348977,0.368951923,-1,-1,0.013743987,0.051907273,-0.060662586,0.004437457,0.111531911,0.097117428,0.002413472,0.021933954,0.127789197,0.103101114,0.080183446,-0.054330429,0.056622955,0.22141703,0.060514612,-2.584978552,0.546208974,0.360779131,0.066483082,0.086866135,0.180608609,0.194423201,-4,0.51573332,-1,0,0,0,2,-4,-3
Red,0,FALSE,0,1,0,0,0,0,0,0,0,0,1,0,0.773616074,0.645574157,1,0,1,0,0,0,0,1,0,0,1,0,0.043243604,0.094182302,0.478289023,0.291796356,-0.022453143,0.04648271,1.090638205,1.012298695,0.385659154,0.662251167,0.088703722,-0.034785304,0.056973988,0.440958123,-1.224905693,3.341539432,-1.767596277,-0.097424381,0.724644948,3.165436191,-0.165998997,-0.471718806,-1,0,-0.000927022,0.028487982,-0.466259881,-0.319089478,-0.169649944,-0.099801579,-1.239067298,-1.141544069,-0.579818168,-0.785038706,0.080183446,0.141312673,0.172078604,-0.195048355,0.060514612,-1.632867476,0.262483612,-0.204616713,-0.553711102,-1.815046124,-1.285877741,-1.713043039,-3,-2.072441835,0,0,0,0,2,-4,-2
Red,0,FALSE,0,1,0,0,0,0,0,0,0,0,1,0,-0.805762722,-0.567729456,-5,0,0,1,0,0,0,1,0,0,1,-3,0.065664731,0.017689326,0.212230697,0.116630853,-0.219713317,-0.342837054,1.697285884,1.629656328,0.475461773,0.783491747,0.051734227,-1.361124617,-0.921106478,-0.606302587,-1.224905693,-1.556567437,-2.088067686,-0.074849504,-0.146321266,-1.25180838,0.000298676,-0.037450591,-1,1,0.020436311,-0.138014909,0.464647929,0.34046559,-0.065606653,-0.028541264,-0.148003975,-0.277572394,0.055270922,0.171497423,0.080183446,-0.524120923,-0.402767578,0.280118558,-1.16148584,-3.023056174,-0.164282794,0.499762257,0.022012538,-0.137194511,-0.021666317,0.104613086,0,-1.586637404,-1,0,0,0,0,-1,-1
Red,0,FALSE,0,1,0,0,0,0,0,0,0,0,1,0,2.352994869,1.85887777,-8,0,1,0,0,0,0,0,1,0,0,0,0.194838584,0.2582459,0.419038531,0.362454575,0.298673476,0.238960133,-0.244830856,-0.102849998,0.299125323,0.262259138,0.66960905,0.389572715,0.255257107,0.090534056,0.035786286,0.915435097,0.036940682,-0.375367284,-0.378770139,-1.565566338,0.36164628,0.416129759,-1,0,0.11492933,0.017488551,0.636338237,0.135419427,0.379438449,0.5312298,0.656967421,0.625610466,0.491863912,0.553386952,0.795704322,1.296133909,1.247372107,0.32707978,0.060514612,-0.291014038,-1.198765466,0.21349473,0.241003478,0.915689067,0.388946089,0.204225108,-2,-0.025589718,-1,0,0,0,2,-3,-2
Red,0,FALSE,0,1,0,0,0,0,0,0,0,0,1,0,-0.805762722,-0.567729456,-1,0,1,0,0,0,0,0,0,1,-1,2,0.114986511,-0.050670506,-0.586849089,-0.577057716,-0.065036799,-0.061480456,1.215512696,0.52411243,0.054815126,-0.081030147,-1.921586361,0.263001647,0.095359408,1.366396446,0.035786286,-0.827544729,0.273386664,0.309206708,0.495141394,1.083955179,0.251746771,0.014350715,0,-1,0.047083011,0.071851325,0.097288922,0.137441466,0.094578795,0.060928499,0.115991158,0.104977044,0.13136323,0.102923055,0.080183446,0.129583004,0.159479773,-0.232331143,0.060514612,-0.092818292,-1.488171112,-0.329069651,0.066483082,0.086866135,0.273713864,0.284909854,-1,-0.830345271,0,0,0,0,-1,1,0
Red,0,FALSE,0,1,0,0,0,0,0,0,0,0,1,0,0.773616074,0.645574157,-5,0,0,0,1,0,0,1,0,0,0,0,0.068651082,0.094182302,-0.072875438,-0.152476442,0.098465229,0.116971591,0.447430583,0.568229498,0.221291049,0.353199794,0.088703722,0.129549773,0.095359408,0.26424178,0.035786286,-4.848846908,-3.973670266,-0.036844033,-0.100707379,-1.169258887,0.388640038,0.517708822,1,1,-0.598441401,-0.882142214,0.049071588,0.077053393,0.114202117,0.136658976,-0.859889357,-1.223712389,0.03222159,-0.066503008,0.080183446,0.176343803,0.217792745,0.22141703,-3.605486747,-5.813844185,-1.301786034,0.317188564,0.284633577,0.604880467,0.000615374,0.006782814,3,0.293445384,0,0,0,0,1,1,2
Red,0,FALSE,0,1,0,0,0,0,0,0,0,0,1,0,-3.174830915,-2.387684875,-1,0,1,0,0,0,0,1,0,0,0,0,-0.083793786,-0.050670506,-0.484054359,-0.364767079,0.001275025,0.04648271,0.292382313,0.026523047,0.030255188,-0.026289422,-0.916441318,0.025140256,0.095359408,-0.604296841,3.175195433,-2.986640137,0.09049113,-0.074849504,-0.146321266,-1.25180838,0.084202104,-0.101396455,0,-1,0.511287267,0.743152904,-0.651599615,0.197829539,0.009986019,0.088735873,-0.874717229,-0.854631991,-0.409347573,-0.50218711,0.080183446,0.059520744,0.159479773,-0.232331143,0.060514612,3.976871996,0.051702194,0.616003768,0.603747193,0.553491267,-0.196886391,-0.074097696,-2,0.25023365,0,0,0,0,-1,0,-1
