yWinner,yBinary,title_bout,titleBoutBinary,no_of_rounds,weight_class_Bantamweight,weight_class_Catch Weight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Welterweight,B_current_lose_streak,B_current_win_streak,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_PASS,B_avg_opp_REV,B_avg_opp_SIG_STR_pct,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_opp_TD_pct,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_wins,B-R_Height_Diff,B-R_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_avg_BODY_att,R_avg_BODY_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_KD,R_avg_PASS,R_avg_REV,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_att,R_avg_TD_landed,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_longest_win_streak,R_losses,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_opp_KD,R_avg_opp_PASS,R_avg_opp_REV,R_avg_opp_SIG_STR_pct,R_avg_opp_SUB_ATT,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_opp_TD_pct,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_wins,R_Weight_lbs,B-R_Age,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Sideways,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch
Blue,0,FALSE,0,3,0,0,0,0,0,0,0,0,1,0,1,-0.449313546,-0.353573925,0.328547238,0.013358365,-0.966842219,-0.796410829,0.107827033,0.06362257,-0.835125682,-0.621813086,-0.759008686,1.319182214,0.095459905,0.692479501,1.788318495,-0.096113955,0.146020588,0.311084143,-1.030004424,-0.909036592,1,2,-0.362640487,-0.374258968,-0.722839303,-0.689718827,-0.936045829,-0.698953879,0.130155161,-0.056054396,-1.100860914,-0.973415874,0.13042718,0.512960888,0.156551799,-0.074535423,0.866558111,-0.917487249,-0.602353941,0.121981189,-0.970209538,-0.691534793,9,-0.583414408,0,0,0,1,1,1,3,3.537528966,2.162203673,185,0,1,-0.707198,-0.439973271,-0.607002053,-0.7117591,-0.778454068,-0.657492114,0.376878573,0.440869164,-0.747392414,-0.637866042,-0.847712408,1.101716452,3.213867729,0.388568152,2.313520525,1.43014967,4.682439659,2.891216699,0.301079981,1.156942401,1,0,2.828471431,3.56026875,0.500325073,0.353876936,-0.070547505,0.416108956,2.301152965,2.621767673,-0.135842122,0.152027741,-0.665277142,-0.800304559,3.101703973,1.209171528,2.727499382,1.40909487,0.994149416,0.381258533,0.542488225,1.075073521,3,1.35600627,0,0,1,0,0,0,1,170,-4,0,0,0,0,1,0,1,0,0
Blue,0,FALSE,0,3,0,0,0,0,0,0,1,0,0,1,0,-0.656465024,-0.907288568,-0.926130098,-0.874695708,-0.599814414,-0.42004444,-0.979778582,-1.03766904,-0.990043177,-1.010508047,-0.759008686,-0.904276657,1.03728265,-1.915161395,-0.067503393,-0.13349087,-0.966230454,-1.250388401,-1.194767722,-1.210948113,1,1,1.3500453,1.908166402,1.111729576,1.649075074,-0.340397988,-0.015604063,0.375348651,0.722422423,-0.349806268,0.147364559,-0.585093696,2.414890388,-0.503782774,2.259151297,0.07222512,0.236692737,0.35750824,-0.25098913,0.100675732,0.779939496,4,-0.543549899,0,0,0,0,0,0,1,0.773616074,0.645574157,155,1,0,-1.164532603,-1.309090116,-1.069578339,-0.924049737,-1.181515309,-1.150914277,-0.669697253,-0.597991892,-1.408189146,-1.262032006,-0.847712408,0.400868318,-0.56820821,0.304399198,0.720874176,-0.387260762,0.555678024,2.891216699,-1.753889254,-1.699754438,0,1,-1.39677927,-1.383152311,-1.190321337,-1.126586667,-1.219076364,-1.249961539,-0.905311584,-0.921404147,-1.397468302,-1.441247068,-0.665277142,-0.800304559,3.101703973,-2.461989951,2.727499382,-1.274475123,-1.017877816,-1.208119344,-1.620478122,-1.515892909,1,-1.906991986,0,0,0,0,0,0,0,155,1,0,0,0,0,1,0,0,1,0
Red,0,TRUE,1,3,0,0,0,0,1,0,0,0,0,2,0,-1.127263837,-1.065759089,-0.421374848,-0.507731215,-1.102640173,-1.029313794,-0.506675455,-0.520933973,-1.073746455,-0.907444989,0.033134943,-0.525277986,-0.532421924,0.889782648,-0.262170024,-0.728123608,-0.532885893,0.428536855,-1.368252667,-1.278737666,2,5,-0.432486636,-0.105738336,-0.07327903,0.177106885,-1.133728082,-1.047845061,-0.014731901,0.203986486,-1.10632313,-0.805415476,-0.585093696,-0.626916051,-0.503782774,0.300812791,0.144437209,-0.903014773,-0.792739828,-0.556146666,-0.635557891,0.092712493,12,-1.014875037,2,0,0,0,4,2,6,-0.805762722,-0.567729456,265,0,1,-1.164532603,-1.091810905,-1.223770435,-1.136340374,-0.241039081,1.175218779,1.307168196,2.172304257,-0.369794281,1.23463185,-0.847712408,-1.000827949,3.213867729,3.166143652,-0.871772172,-1.114224935,-1.09502663,-1.443478379,1.046288604,3.101083305,1,0,-1.39677927,-1.383152311,-1.190321337,-1.126586667,-1.246422289,-1.174231062,4.252913995,2.843215912,-0.26200474,0.245749788,-0.665277142,6.696072365,-0.564297386,0.291381158,2.727499382,1.856356535,0.994149416,0.140443704,-0.099271021,0.165962493,3,2.998914483,1,0,0,1,0,0,1,221,-6,0,0,0,0,1,0,1,0,0
Blue,0,FALSE,0,3,0,0,0,0,0,0,0,0,1,1,0,1.193101741,1.143506405,-0.277159062,-0.37011953,0.349837947,1.065612359,-0.570464641,-0.504786003,-0.478523146,-0.281704995,0.693254633,0.485385137,-0.532421924,0.878739565,-0.067503393,-0.13349087,0.622699607,2.217348847,-0.172818156,-0.046951888,1,1,1.3500453,1.236864823,2.479609881,0.974422987,1.324294668,1.19233753,-0.850618799,-0.816427103,1.092218652,0.190142438,-0.585093696,-0.754992112,-0.503782774,-0.188771836,-0.722107872,-1.156283108,-0.951394734,-1.121253209,0.93730485,0.072499934,5,0.485918189,0,0,0,0,0,1,1,-1.990296818,-2.387684875,170,1,0,-0.182110122,-0.053699117,0.163958423,-0.098475038,-0.626186488,-0.641827918,1.772313007,1.729826399,-0.156521262,0.144818262,-0.177615714,0.868100407,-0.56820821,0.454032897,0.543913471,0.783959294,1.197618723,0.849093685,1.372474196,2.611741718,8,1,-0.379589286,-0.255705402,0.143410831,0.518372891,-0.620504445,-0.400097297,0.2254706,0.333469206,-0.594933871,-0.22286045,0.74105405,-0.152469516,0.250369582,1.413124941,2.53298219,0.315788577,0.547032253,0.434772939,-0.587853163,-0.233036236,25,0.862119666,1,0,1,3,1,3,8,170,4,0,0,0,0,1,0,1,0,0
Red,1,FALSE,0,3,0,0,1,0,0,0,0,0,0,1,0,-1.041174911,-1.050844216,-0.911708519,-0.915061802,-0.740978954,-0.915263373,-0.874526426,-0.895566897,-0.92281483,-1.204855528,-0.759008686,-0.626344298,1.351223564,-2.30387805,0.646274256,-0.320375445,-0.489551436,-0.2833851,-1.046689315,-1.047261144,1,3,-0.682768671,-0.598026161,-0.883766398,-0.86962605,-0.722757082,-0.629928645,-0.262154423,-0.128470844,-0.85451499,-0.750970902,0.13042718,0.653844555,0.156551799,0.317132278,1.184291308,-0.75829001,-0.078792752,1.365215587,-1.023753802,-0.909830429,7,-1.315870001,0,0,0,0,0,2,2,0.773616074,0.94890006,155,4,0,0.474249725,0.130384659,-0.279343851,-0.472932134,2.687872603,1.087107678,-0.77144768,-0.771135401,2.686390605,0.52129932,-0.470783017,-0.475191849,1.795589252,-1.389501013,-0.274529792,-0.569001806,-0.682350467,-0.814947593,2.1245829,0.358455958,1,6,1.816171784,2.129278443,0.01426423,-0.232139907,2.045343459,2.754287436,3.259607042,2.870896941,2.825036817,3.889194388,-0.137902944,2.635534865,0.810453124,0.681442065,2.289835701,-0.100413251,0.868397714,1.452884526,2.767847833,2.876249745,21,0.820349738,0,0,1,0,0,1,2,145,-8,0,0,0,0,1,0,1,0,0
Blue,0,FALSE,0,3,0,0,0,1,0,0,0,0,0,0,2,-0.952395706,-0.804748819,-0.854022205,-0.874695708,-0.599814414,-0.486073631,-0.044203859,0.116910874,-0.653901442,-0.524639346,2.145517951,-0.20944576,-0.532421924,0.595300337,0.646274256,-0.881029169,-0.966230454,-1.250388401,-0.881926018,-0.956323939,2,0,-0.970884037,-1.000807108,-0.658468465,-0.71220723,-0.821598209,-0.947444721,-0.176336701,-0.363824301,-0.755375777,-0.836526661,-0.585093696,-0.754992112,-0.503782774,-1.575928278,-0.722107872,-0.360296911,-0.515093743,-0.43747429,-1.126380307,-1.221103837,2,-1.583969775,0,0,0,0,1,1,2,-1.595452119,-0.871055359,125,0,3,1.18311836,1.428627947,1.027434157,1.07148225,0.892906544,0.893263257,1.539740601,1.341215412,1.467849964,1.698297995,-0.244625383,1.241886078,3.970282917,0.186562661,1.676461985,0.703185497,0.225537093,-0.403151561,1.005640861,0.744308413,3,1,2.053842136,1.843080382,1.48089999,1.636945391,0.913905803,1.021952773,0.154215832,0.141547399,0.974388915,1.164225855,0.178521574,1.531901595,0.902103158,0.328092773,2.027237492,1.140737871,2.402568478,1.75871936,1.208016332,1.265986837,14,0.778250215,0,0,0,2,1,1,4,135,3,0,0,0,0,1,0,1,0,0
Red,0,FALSE,0,5,0,0,0,0,0,0,0,0,1,0,2,-0.508499683,-0.292050076,0.299704081,0.134456647,-0.997641755,-0.882248777,-0.570464641,-0.504786003,-0.975428319,-0.767573696,3.597781269,-0.904276657,-0.532421924,0.635791655,-0.781281042,-0.881029169,-0.568997939,0.731175741,-1.236479949,-1.138198349,2,0,-1.130948129,-1.000807108,-0.49754137,-0.487323201,-1.120722671,-1.154520423,-0.850618799,-0.816427103,-1.206008565,-1.221527573,-0.585093696,-0.754992112,-0.503782774,-1.086343651,-0.722107872,-0.360296911,-0.515093743,-0.085224544,-1.594892613,-1.645567574,2,-2.111845965,0,0,0,0,2,0,2,1.95815017,1.252225963,170,2,0,2.02410588,2.402763077,1.230453749,1.163474858,0.990536933,1.034241018,1.113357857,0.974728317,0.886243952,0.38754947,-0.093853627,-0.00795976,-0.253035216,-0.004220305,0.322712589,0.339703411,0.693236745,0.36986906,1.533685153,1.514029506,7,3,1.361370494,1.153603234,0.401704032,0.37443893,0.686023093,0.416108956,-0.475459452,-0.644593848,0.381950289,-0.324392668,0.037888456,-0.314428277,-0.258797274,-0.419906378,1.706284127,1.446366675,1.077983883,0.164525187,0.526642317,0.105355091,43,2.005563497,5,0,3,5,0,1,9,170,-2,0,0,0,0,1,0,0,1,0
Red,1,FALSE,0,3,0,0,1,0,0,0,0,0,0,1,0,0.823188388,0.835887159,3.400343475,2.354591829,0.965828667,1.032597763,-0.33657096,-0.327158324,1.596786694,1.904704161,-0.759008686,-0.904276657,-0.532421924,0.635791655,-0.781281042,-1.067913744,-0.966230454,-1.250388401,1.443530648,1.226168984,1,1,-0.570723806,-0.665156319,2.238219239,1.53663306,1.363310903,2.538329591,-0.789320426,-0.725906543,2.083610785,4.04015156,-0.585093696,-0.402782945,-0.503782774,-0.7599539,1.660891103,1.828665131,0.35750824,-0.644680023,0.959614959,0.982065085,4,-0.138333737,0,0,0,0,1,0,1,0.378771375,1.555551867,155,1,0,1.470585825,0.987861547,-0.496864842,-0.469141229,0.066055198,0.107815732,-0.055041609,0.168786506,-0.234937805,-0.153818968,-0.847712408,1.702443423,0.512384917,-0.26073521,0.265832362,0.339703411,0.791492975,0.965373601,0.46560656,0.811191395,2,4,1.093100607,0.846962453,0.30710834,0.318627802,0.58184814,0.221373444,0.329476006,0.280743435,0.422878043,0.058305693,-0.062563773,-0.443334229,-0.040582906,-0.272404351,1.22693819,0.00341535,0.419284493,0.511986583,0.990701033,0.867276714,20,1.142167423,0,0,1,2,0,0,3,145,-6,0,0,0,0,1,0,1,0,0
Blue,1,FALSE,0,3,0,0,0,0,1,0,0,0,0,0,4,-0.619473689,-0.394589825,-0.241105116,-0.37011953,0.022592876,0.504364235,-0.073440569,0.294538553,0.025689456,0.568565232,1.419386292,-0.556861209,-0.532421924,0.919230883,0.646274256,-1.067913744,-0.966230454,-1.250388401,-0.303168866,-0.146982813,4,0,-0.250595622,-0.385447327,-0.215918955,-0.037555143,-0.210343874,-0.498780701,-0.482828564,-0.363824301,-0.259679711,-0.472914688,-0.585093696,0.301635388,-0.503782774,-0.494762227,-0.324941376,0.336191011,0.35750824,0.412069215,-0.406879266,-0.584408231,8,-0.439507912,0,0,0,1,3,0,4,-1.200607421,-0.567729456,265,0,1,-0.859642867,-0.657252482,-0.761194149,-0.7117591,-0.979984689,-1.080425397,3.458462948,2.864878294,-0.039395915,0.38754947,-0.847712408,1.101716452,1.32282976,0.178145766,1.51719735,-0.569001806,-0.269674303,1.807542929,0.131714384,0.442768191,1,1,-1.220727157,-1.122972255,-1.105789017,-1.126586667,-1.109692663,-0.947039631,-0.208254073,0.075112927,-1.145143066,-0.785192735,1.444219648,-0.800304559,-0.564297386,1.484508638,0.976844658,-0.827213457,-0.514871008,-0.004045194,-1.537287109,-1.424981806,4,-0.761519871,0,0,0,0,0,1,1,260,8,0,0,0,0,1,0,1,0,0
Red,0,FALSE,0,3,0,0,0,0,0,0,1,0,0,0,1,-0.286551671,-0.189510327,0.588135653,0.336287118,-0.856477214,-0.7171758,2.996413991,2.248443023,0.106071175,0.690032408,0.693254633,-0.20944576,-0.532421924,0.433335064,-0.067503393,-1.067913744,-0.966230454,-1.250388401,0.890843638,1.480793159,1,1,-0.650755853,-0.553272722,-0.256150728,-0.149997158,-0.847609032,-0.878419487,0.497945396,0.631901863,-0.620185941,-0.280414232,-0.585093696,-0.402782945,-0.503782774,0.464007666,0.866558111,2.425654779,0.35750824,-0.49963601,-0.713643276,-0.554089392,5,0.288786002,0,0,0,0,0,1,1,0.378771375,-1.781033069,170,0,3,1.731919883,2.004417857,1.012014947,0.986565995,1.384641258,0.787529936,1.365311297,1.566301974,2.013793931,1.769631248,-0.847712408,0.751292385,0.377310775,-0.579374825,1.119035763,1.9753728,1.587368433,0.387930291,1.802788267,1.305728694,3,1,0.539793968,0.503153094,-0.175933491,-0.386354866,1.050635429,1.381672539,-0.661341455,-0.644593848,0.889229148,0.972095657,0.389471253,-0.592071866,-0.564297386,-0.029845471,0.976844658,0.067309874,-0.0118642,-0.2087378,0.667274745,0.381876362,12,1.35600627,0,0,1,2,0,0,3,170,5,0,0,0,0,1,0,1,0,0
