fighter_name,Height,Weight,Reach,Stance,DOB
AJ Fonseca,"5' 4""",145 lbs.,,,
AJ Matthews,"5' 11""",185 lbs.,,,
AJ McKee,"5' 10""",145 lbs.,,,
AJ Siscoe,"5' 7""",135 lbs.,,,
Aalon Cruz,"6' 0""",145 lbs.,,,
Aaron Brink,"6' 3""",205 lbs.,,Orthodox,12-Nov-74
Aaron Ely,"5' 8""",135 lbs.,,,18-Mar-89
Aaron Jeffery,"6' 2""",185 lbs.,,,14-Nov-92
Aaron Lanfranco,,155 lbs.,,,26-Aug-86
Aaron Miller,"5' 9""",145 lbs.,,,
Aaron Phillips,"5' 9""",135 lbs.,"70""",Southpaw,5-Aug-89
Aaron Riley,"5' 8""",155 lbs.,"69""",Southpaw,9-Dec-80
Aaron Rosa,"6' 4""",205 lbs.,"78""",Orthodox,28-May-83
Aaron Simpson,"6' 0""",170 lbs.,"73""",Orthodox,20-Jul-74
Aaron Trujillo,"5' 5""",125 lbs.,,,
Aaron Wetherspoon,,170 lbs.,,,
Aaron Wilkinson,"5' 10""",155 lbs.,,,31-Jan-87
Abdul Razak Alhassan,"5' 10""",170 lbs.,"73""",Orthodox,11-Aug-85
Abdul-Kerim Edilov,"6' 2""",205 lbs.,"78""",Orthodox,25-Nov-91
Abel Cullum,"5' 7""",139 lbs.,,Orthodox,21-Apr-87
Abel Trujillo,"5' 8""",155 lbs.,"70""",Orthodox,18-Sep-83
Abner Lloveras,"5' 11""",155 lbs.,"71""",,4-Sep-82
Abongo Humphrey,"5' 11""",205 lbs.,,Orthodox,
Abram Torres,"5' 10""",170 lbs.,,,29-Oct-82
Abu Azaitar,"5' 9""",185 lbs.,"76""",Orthodox,10-Mar-86
Achmed Labasanov,"6' 3""",215 lbs.,,Orthodox,24-Apr-78
Adam Antolin,"5' 5""",125 lbs.,"63""",Orthodox,28-Feb-82
Adam Cella,"6' 2""",170 lbs.,"78""",,26-Jun-85
Adam Hunter,"6' 1""",185 lbs.,"73""",Orthodox,16-Oct-83
Adam Khaliev,"6' 0""",170 lbs.,,Orthodox,16-Apr-84
Adam Lynn,"5' 10""",155 lbs.,,Orthodox,
Adam Meredith,"6' 2""",170 lbs.,,,
Adam Milstead,"6' 3""",205 lbs.,"76""",Orthodox,3-Jul-87
Adam Piccolotti,"5' 11""",155 lbs.,,,23-Oct-88
Adam Schindler,"5' 8""",155 lbs.,,,19-May-83
Adam Smith,,,,,
Adam Steele,,170 lbs.,,,
Adam Wieczorek,"6' 5""",250 lbs.,"81""",Orthodox,5-Feb-92
Adam Yandiev,"5' 9""",185 lbs.,"74""",Orthodox,7-Aug-88
Adin Duenas,"5' 6""",145 lbs.,,,2-Jul-88
Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,30-Oct-86
Adli Edwards,,145 lbs.,,,28-Aug-89
Adrian Diaz,"5' 10""",145 lbs.,,Southpaw,26-Apr-88
Adrian Serrano,"5' 8""",170 lbs.,,,23-Dec-63
Adriano Martins,"5' 10""",155 lbs.,"72""",Southpaw,16-Dec-82
Adriano Santos,,,,,
Adrienna Jenkins,"5' 8""",145 lbs.,,,22-Jul-81
Aiemann Zahabi,"5' 8""",135 lbs.,"68""",Orthodox,19-Nov-87
Aisling Daly,"5' 2""",115 lbs.,"64""",,24-Dec-87
Aji Susilo,"5' 10""",155 lbs.,,,
Akbarh Arreola,"5' 10""",155 lbs.,"71""",Southpaw,14-Jan-83
Akihiro Gono,"5' 7""",170 lbs.,"68""",Switch,7-Oct-74
Akihito Tanaka,,,,Southpaw,
Akira Corassani,"5' 8""",145 lbs.,"68""",Orthodox,27-Aug-82
Akira Kikuchi,"5' 8""",155 lbs.,,Orthodox,23-Jul-78
Akira Shoji,"5' 8""",195 lbs.,,Orthodox,31-Jan-74
Akitoshi Tamura,"5' 9""",135 lbs.,"70""",Orthodox,31-May-80
Akiyo Nishiura,"5' 8""",139 lbs.,,Southpaw,8-Aug-83
Al Iaquinta,"5' 10""",155 lbs.,"70""",Orthodox,30-Apr-87
Alan Belcher,"6' 2""",185 lbs.,"73""",Orthodox,24-Apr-84
Alan Gomez,,155 lbs.,,,
Alan Hiro,"5' 5""",135 lbs.,,Orthodox,4-Apr-86
Alan Jouban,"6' 0""",170 lbs.,"73""",Southpaw,25-Nov-81
Alan Omer,"5' 10""",145 lbs.,"71""",Orthodox,14-Sep-88
